domA	domB	source
d1uv7a_	d2cdqa2	candidate
d2hgaa1	d2kv8a_	candidate
d3a6ra_	d3w5ha1	candidate
d3rkpa1	d6jz2a2	candidate
d3rkpa3	d6jz2a2	candidate
d1pd0a1	d2c0ga1	candidate
d1vlya1	d2hvyb1	candidate
d1vlya1	d2jdia2	candidate
d1vlya1	d1xe1a_	candidate
d1vlya1	d2f1la2	candidate
d1r5ba1	d1vlya1	candidate
d1vlya1	d2jdid2	candidate
d1vlya1	d3gqba1	candidate
d1vlya1	d2dpya1	candidate
d1jnya1	d1vlya1	candidate
d1vlya1	d4ac9a2	candidate
d1vlya1	d1zunb1	candidate
d1ep3b1	d1vlya1	candidate
d1vlya1	d1y0ya1	candidate
d1vlya1	d4ac9a1	candidate
d1g7sa1	d1vlya1	candidate
d1sqra_	d1vlya1	candidate
d2fiqa1	d5lxea_	candidate
d2p4oa1	d6hrla_	candidate
d3ktoa_	d4eh1a2	candidate
d1tvca2	d3ktoa_	candidate
d2piaa2	d3ktoa_	candidate
d1xg2b1	d3iqca_	candidate
d1qzya1	d3k2za1	candidate
d1r4xa1	d1wfma1	candidate
d1wfma1	d3ivva1	candidate
d1brta_	d2d81a1	candidate
d4dpoa1	d7d59k_	candidate
d1bdfa1	d4dpoa1	candidate
d1twfk_	d4dpoa1	candidate
d1bdfa1	d1tuva_	candidate
d1v5va1	d2gk6a2	candidate
d2gk6a2	d3kyga1	candidate
d2gk6a2	d2pp6a1	candidate
d2j43a1	d4n2ka1	candidate
d2iiaa_	d4n2ka1	candidate
d1uv7a_	d2bz2a1	candidate
d1y7na1	d2hgaa1	candidate
d2asba3	d2ctma1	candidate
d2asba3	d2je6i3	candidate
d2asba3	d4lija_	candidate
d2asba3	d6y2ca_	candidate
d1tuaa1	d2asba3	candidate
d1dtja_	d2asba3	candidate
d1zzka2	d2asba3	candidate
d2anra1	d2asba3	candidate
d1qaua_	d2hgaa1	candidate
d1i4ja_	d4g8ta1	candidate
d1vq8r1	d4g8ta1	candidate
d1v7mv_	d3t9ja_	candidate
d1huwa_	d3t9ja_	candidate
d1f45b_	d3t9ja_	candidate
d1bgca_	d3t9ja_	candidate
d1eera_	d3t9ja_	candidate
d2l3ya_	d3t9ja_	candidate
d1evsa_	d3t9ja_	candidate
d1alua_	d3t9ja_	candidate
d1lkia_	d3t9ja_	candidate
d3n0pa_	d3t9ja_	candidate
d3pmsa1	d3v98a1	candidate
d1bu8a1	d3pmsa1	candidate
d1ca1a2	d3pmsa1	candidate
d3pmsa1	d3pzwa1	candidate
d1kmta1	d3pmsa1	candidate
d2p0ma2	d3pmsa1	candidate
d1tqya2	d1u14a1	candidate
d1dt9a1	d1tqya2	candidate
d1tqya2	d4af1a2	candidate
d2i5ia1	d2im5a2	candidate
d1cipa1	d1wtya_	candidate
d2d81a1	d4h0ca1	candidate
d1b6ga_	d2d81a1	candidate
d2d81a1	d3kdaa1	candidate
d1pjaa_	d2d81a1	candidate
d2d81a1	d4uhca1	candidate
d1j1ia_	d2d81a1	candidate
d2d81a1	d6v7na1	candidate
d2d81a1	d3w06a_	candidate
d2d81a1	d5uroa1	candidate
d2d81a1	d3idaa1	candidate
d2d81a1	d2i3da1	candidate
d2d81a1	d7jqza_	candidate
d2d81a1	d5mifa_	candidate
d2d81a1	d3u0va_	candidate
d2d81a1	d2fuka1	candidate
d1fj2a1	d2d81a1	candidate
d1ufoa_	d2d81a1	candidate
d1uk8a_	d2d81a1	candidate
d1a8qa_	d2d81a1	candidate
d2d81a1	d6avxa_	candidate
d2d81a1	d5efza_	candidate
d2d81a1	d4wy8a1	candidate
d2d81a1	d5frda1	candidate
d1ei9a_	d2d81a1	candidate
d2d81a1	d7jqya_	candidate
d2d81a1	d7at0a_	candidate
d2d81a1	d4v2ia_	candidate
d2d81a1	d4j7aa_	candidate
d2d81a1	d3og9a_	candidate
d1wb4a2	d2d81a1	candidate
d1tqha_	d2d81a1	candidate
d2d81a1	d4i3fa1	candidate
d2d81a1	d4f21a1	candidate
d2d81a1	d5a62a_	candidate
d2d81a1	d6eqea1	candidate
d2d81a1	d3c8da2	candidate
d2d81a1	d3dkra_	candidate
d2d81a1	d5h3ha_	candidate
d1mj5a1	d2d81a1	candidate
d2d81a1	d4pw0a_	candidate
d1ys1x_	d2d81a1	candidate
d1mtza_	d2d81a1	candidate
d2d81a1	d6avya_	candidate
d2d81a1	d3wj2a_	candidate
d2d81a1	d4inza_	candidate
d2d81a1	d5egna_	candidate
d2d81a1	d3kxpa_	candidate
d1wm1a_	d2d81a1	candidate
d1q0ra_	d2d81a1	candidate
d2d81a1	d3vvma_	candidate
d2d81a1	d2psfa_	candidate
d2d81a1	d2pbla1	candidate
d2d81a1	d5w15a1	candidate
d2d81a1	d5jkja_	candidate
d1c4xa_	d2d81a1	candidate
d2d81a1	d3wj1a_	candidate
d1auoa_	d2d81a1	candidate
d2d81a1	d4x00a_	candidate
d2d81a1	d3wi7a_	candidate
d2d81a1	d7ci0a_	candidate
d1thta_	d2d81a1	candidate
d2d81a1	d4fhza1	candidate
d2d81a1	d6f9oa1	candidate
d2d81a1	d6ieya1	candidate
d2d81a1	d4rnca1	candidate
d2d81a1	d4nvra_	candidate
d2d81a1	d7ld8a1	candidate
d1jjfa_	d2d81a1	candidate
d2d81a1	d2jbwa1	candidate
d2b9va2	d2d81a1	candidate
d2d81a1	d2vaxa_	candidate
d2d81a1	d2ocga_	candidate
d1ct5a_	d1edta_	candidate
d2qdxa2	d5i4ca_	candidate
d1ykga1	d2qdxa2	candidate
d1rlia_	d2qdxa2	candidate
d2qdxa2	d3eqza1	candidate
d1dbwa_	d2qdxa2	candidate
d2qdxa2	d6xvud_	candidate
d1ccwa_	d2qdxa2	candidate
d2qdxa2	d6ohka1	candidate
d2b4aa1	d2qdxa2	candidate
d2qdxa2	d2qv0a_	candidate
d1bvyf_	d2qdxa2	candidate
d2qdxa2	d5nula_	candidate
d2qdxa2	d3t8ya_	candidate
d1jbea_	d2qdxa2	candidate
d2qdxa2	d7l9ca_	candidate
d2qdxa2	d5wida_	candidate
d2qdxa2	d4e7pa1	candidate
d2qdxa2	d4euka_	candidate
d2qdxa2	d3khta_	candidate
d1t3ga_	d2qdxa2	candidate
d2qdxa2	d4zyla_	candidate
d1k66a1	d2qdxa2	candidate
d1v5va1	d2hvyb1	candidate
d1wosa1	d2hvyb1	candidate
d2hvyb1	d2pp6a1	candidate
d1vloa1	d2hvyb1	candidate
d1bdfa1	d1u8sa1	candidate
d1u8sa1	d1uv7a_	candidate
d1bdfa1	d2zdpa2	candidate
d2hgaa1	d2jila_	candidate
d2imha1	d3ljqa_	candidate
d1qfja1	d1v5va1	candidate
d1qfja1	d3kyga1	candidate
d1vfha2	d2nlya1	candidate
d1v6ta_	d1vfha2	candidate
d1vfha2	d2i5ia1	candidate
d1krha1	d1v5va1	candidate
d1v5va1	d2grea1	candidate
d1v5va1	d1xe1a_	candidate
d1v5va1	d2f1la2	candidate
d1v5va1	d2crva1	candidate
d1v5va1	d2qdxa1	candidate
d1d1na_	d1v5va1	candidate
d1r5ba1	d1v5va1	candidate
d1v5va1	d2jdid2	candidate
d1v5va1	d2pp6a1	candidate
d1v5va1	d2c78a1	candidate
d1v5va1	d3gqba1	candidate
d1v5va1	d2dpya1	candidate
d1jnya1	d1v5va1	candidate
d1v5va1	d1zunb1	candidate
d1v5va1	d2fvga1	candidate
d1ep3b1	d1v5va1	candidate
d1v5va1	d1y0ya1	candidate
d1v5va1	d4ac9a1	candidate
d1g7sa1	d1v5va1	candidate
d1v5va1	d2piaa1	candidate
d1v5va1	d1vhoa1	candidate
d1sqra_	d1v5va1	candidate
d1ig0a2	d6jyyb_	candidate
d1o7d.2	d2qlvb1	candidate
d1egra_	d1gz0a2	candidate
d1qzya1	d7k63u_	candidate
d1xgsa1	d7k63u_	candidate
d3v98a1	d6yd4a2	candidate
d1bu8a1	d6yd4a2	candidate
d1ca1a2	d6yd4a2	candidate
d3pzwa1	d6yd4a2	candidate
d2p0ma2	d6yd4a2	candidate
d1atia1	d2qi2a2	candidate
d1wu7a1	d2qi2a2	candidate
d1v95a1	d2qi2a2	candidate
d1kmma1	d2qi2a2	candidate
d2d0ob1	d2qi2a2	candidate
d1jqga2	d1uv7a_	candidate
d1ca1a2	d6wpca3	candidate
d1nw7a_	d1sg9a_	candidate
d1booa_	d1sg9a_	candidate
d1g60a_	d1sg9a_	candidate
d1krha1	d3kyga1	candidate
d2qdxa1	d3kyga1	candidate
d3kyga1	d5tr9a1	candidate
d3kyga1	d4rd4a3	candidate
d1tvca1	d3kyga1	candidate
d3kyga1	d3ozua2	candidate
d2piaa1	d3kyga1	candidate
d1evsa_	d1rcwa_	candidate
d1wwma1	d3s9da_	candidate
d1au1a_	d1wwma1	candidate
d1bgca_	d1wwma1	candidate
d1wwma1	d2l3ya_	candidate
d1wwma1	d3piwa_	candidate
d1evsa_	d1wwma1	candidate
d1n1fa_	d1wwma1	candidate
d1alua_	d1wwma1	candidate
d1jr3d1	d1y6da_	candidate
d1uv7a_	d2fgca1	candidate
d1v93a_	d4l6ha2	candidate
d1v93a_	d4e6ma2	candidate
d1v93a_	d3dg3a2	candidate
d1v93a_	d3gd6a2	candidate
d1j93a_	d1v93a_	candidate
d1bdfa1	d2hiqa_	candidate
d1fjgj_	d2epia_	candidate
d2cf7a_	d3s9da_	candidate
d2ib0a1	d3s9da_	candidate
d2pyba_	d3s9da_	candidate
d3jqwa_	d3v98a1	candidate
d1ca1a2	d3jqwa_	candidate
d2p0ma2	d3jqwa_	candidate
d1v7mv_	d1zuja1	candidate
d1bgca_	d1zuja1	candidate
d1eera_	d1zuja1	candidate
d1zuja1	d2l3ya_	candidate
d1evsa_	d1zuja1	candidate
d1lkia_	d1zuja1	candidate
d1zuja1	d3n0pa_	candidate
d1bgca_	d1z6om1	candidate
d1evsa_	d1z6om1	candidate
d1lkia_	d1z6om1	candidate
d1bdfa1	d4i6ya2	candidate
d2gjva1	d4i6ya2	candidate
d2hgaa1	d6x1na_	candidate
d1dm9a_	d1jh3a_	candidate
d1sc6a2	d3w5ha2	candidate
d3cg4a_	d3w5ha2	candidate
d1gdha2	d3w5ha2	candidate
d1t3ga_	d3w5ha2	candidate
d2piaa2	d3cu5a1	candidate
d1kgsa2	d1krha2	candidate
d1kgsa2	d2piaa2	candidate
d1i4ja_	d3q4da1	candidate
d1i4ja_	d2zada1	candidate
d1i4ja_	d3i6ea1	candidate
d1i4ja_	d1yeya2	candidate
d1i4ja_	d4dhga1	candidate
d1i4ja_	d2pgwa1	candidate
d1i4ja_	d3bjsa1	candidate
d1i4ja_	d4h2ha1	candidate
d1i4ja_	d2p8ba1	candidate
d1i4ja_	d5olca1	candidate
d1i4ja_	d4e6ma1	candidate
d1i4ja_	d3toya1	candidate
d1i4ja_	d4dyea1	candidate
d1i4ja_	d4h83a1	candidate
d1i4ja_	d3ozya1	candidate
d1i4ja_	d3dg3a1	candidate
d1i4ja_	d2ovla1	candidate
d1i4ja_	d2hzga1	candidate
d1i4ja_	d3ik4a1	candidate
d1i4ja_	d1jpma2	candidate
d1i4ja_	d2gdqa2	candidate
d1i4ja_	d4hpna1	candidate
d1i4ja_	d1jpdx2	candidate
d1i4ja_	d3i4ka1	candidate
d1i4ja_	d3r1za1	candidate
d1i4ja_	d1r6wa2	candidate
d1i4ja_	d1r0ma2	candidate
d1i4ja_	d3rita1	candidate
d1i4ja_	d3gd6a1	candidate
d1i4ja_	d1wuea2	candidate
d1i4ja_	d1sjda2	candidate
d1i4ja_	d4k8ga1	candidate
d1i4ja_	d3dgba1	candidate
d1i4ja_	d4hcha1	candidate
d2hgaa1	d3sfja_	candidate
d1g7sa1	d2b7ca2	candidate
d1r4xa1	d2dmga1	candidate
d2dmga1	d3ivva1	candidate
d1lb6a_	d2dmga1	candidate
d2nqha_	d4dhga2	candidate
d1x7fa2	d2nqha_	candidate
d3ozua3	d4lzla_	candidate
d1krha2	d4lzla_	candidate
d4eh1a2	d4lzla_	candidate
d3qfta2	d4lzla_	candidate
d2piaa2	d4lzla_	candidate
d1uv7a_	d6id0c3	candidate
d2piaa2	d3a0ua_	candidate
d1sc6a2	d5tr9a2	candidate
d1sc6a2	d3ozua3	candidate
d1krha2	d1sc6a2	candidate
d1sc6a2	d4eh1a2	candidate
d1sc6a2	d3qfta2	candidate
d1sc6a2	d1tvca2	candidate
d1f20a2	d1sc6a2	candidate
d1qfja2	d1sc6a2	candidate
d1sc6a2	d3lo8a2	candidate
d1bdfa1	d1z2la2	candidate
d1z2la2	d2gjva1	candidate
d2c8ua1	d3vrna1	candidate
d2d81a1	d2xmza_	candidate
d1ca1a2	d1od3a_	candidate
d3jtea1	d3qfta2	candidate
d2piaa2	d3jtea1	candidate
d3r8qa1	d3rkpa1	candidate
d3cg4a_	d4eh1a2	candidate
d1tvca2	d3cg4a_	candidate
d2piaa2	d3cg4a_	candidate
d1qfja2	d3cg4a_	candidate
d1v7mv_	d7o6ea_	candidate
d1eera_	d7o6ea_	candidate
d3hx9a_	d7d59k_	candidate
d1q8ba_	d7d59k_	candidate
d1tz0a_	d7d59k_	candidate
d1qava_	d2hgaa1	candidate
d1vq8s1	d2mzra1	candidate
d1qzya1	d2dk8a1	candidate
d1xgsa1	d2dk8a1	candidate
d1krha1	d2asfa1	candidate
d1krha1	d2gmqa1	candidate
d1krha1	d2htia1	candidate
d1krha1	d3a6ra_	candidate
d1krha1	d1vloa1	candidate
d1qzya1	d1u5ta2	candidate
d1u5ta2	d1xgsa1	candidate
d1r3ra_	d6omza_	candidate
d2hgaa1	d4q2qa_	candidate
d1qzya1	d3bz6a1	candidate
d1xgsa1	d3bz6a1	candidate
d2hgaa1	d3b76a1	candidate
d5i4ca_	d5tr9a2	candidate
d3ozua3	d5i4ca_	candidate
d1fdra2	d5i4ca_	candidate
d1krha2	d5i4ca_	candidate
d4eh1a2	d5i4ca_	candidate
d3qfta2	d5i4ca_	candidate
d1tvca2	d5i4ca_	candidate
d3lo8a2	d5i4ca_	candidate
d2hgaa1	d4uu5a1	candidate
d1gvea_	d4l6ha2	candidate
d1tj2a2	d4l6ha2	candidate
d1uv7a_	d1whya1	candidate
d2hgaa1	d3khfa1	candidate
d1ukua_	d1uv7a_	candidate
d1qzya1	d3txna2	candidate
d1xgsa1	d3txna2	candidate
d1fjge2	d2cc6a_	candidate
d1ct5a_	d5t9ce_	candidate
d1ykga1	d3ozua3	candidate
d1ykga1	d4eh1a2	candidate
d1ykga1	d3qfta2	candidate
d1tvca2	d1ykga1	candidate
d1f20a2	d1ykga1	candidate
d1di2a_	d2cc6a_	candidate
d2cc6a_	d5npaa_	candidate
d1o0wa2	d2cc6a_	candidate
d2cc6a_	d2ez6a2	candidate
d1qzya1	d2htja1	candidate
d1xgsa1	d2htja1	candidate
d3ibxa1	d3n0pa_	candidate
d1v7mv_	d3ak8a_	candidate
d1v7mv_	d3b3ha_	candidate
d1v7mv_	d1yuza1	candidate
d1v7mv_	d4cy9a1	candidate
d1lkoa1	d1v7mv_	candidate
d1v7mv_	d2fjca1	candidate
d1v7mv_	d3iq1a_	candidate
d1v7mv_	d4cvra_	candidate
d1nfva_	d1v7mv_	candidate
d1v7mv_	d3kwoa1	candidate
d1v7mv_	d2cf7a_	candidate
d1v7mv_	d4a25a_	candidate
d1v7mv_	d2ib0a1	candidate
d1v7mv_	d2oh3a1	candidate
d1v7mv_	d2pyba_	candidate
d1jmrb3	d1zela1	candidate
d1jmrb3	d1qzya1	candidate
d1bdfa1	d1fnoa3	candidate
d1ifqa1	d3by8a_	candidate
d1ifqa1	d1p0za1	candidate
d1ifqa1	d2a2la1	candidate
d1k32a1	d2hgaa1	candidate
d1gz0a2	d4zbda1	candidate
d1uv7a_	d2ywka1	candidate
d1krha2	d3kyjb1	candidate
d3kyjb1	d4eh1a2	candidate
d1tvca2	d3kyjb1	candidate
d2piaa2	d3kyjb1	candidate
d1qfja2	d3kyjb1	candidate
d2hgaa1	d2yuba1	candidate
d1olza2	d5n4fa2	candidate
d2hgaa1	d4n6xa1	candidate
d1di2a_	d2vyxa_	candidate
d1zela1	d2bbya_	candidate
d3eqza1	d5tr9a2	candidate
d5c1ta1	d5tr9a2	candidate
d3hlya_	d5tr9a2	candidate
d5tr9a2	d6ohka1	candidate
d1gdha2	d5tr9a2	candidate
d3q72a_	d5tr9a2	candidate
d1rlja1	d5tr9a2	candidate
d1t3ga_	d5tr9a2	candidate
d1qzya1	d3ctaa1	candidate
d1p1ja2	d3td3a1	candidate
d1cc7a_	d1uv7a_	candidate
d1biaa1	d1qzya1	candidate
d1biaa1	d1xgsa1	candidate
d1qzya1	d2dk5a1	candidate
d1xgsa1	d2dk5a1	candidate
d1uv7a_	d6ff2a_	candidate
d1qupa2	d1uv7a_	candidate
d1ofux_	d1orda1	candidate
d1bgca_	d3ak8a_	candidate
d1eera_	d3ak8a_	candidate
d1evsa_	d3ak8a_	candidate
d1lkia_	d3ak8a_	candidate
d1bdfa1	d1ysja2	candidate
d2vyxa_	d5npaa_	candidate
d1wv8a1	d5npaa_	candidate
d1s3aa1	d1vm6a2	candidate
d3ltea_	d3ozua3	candidate
d1krha2	d3ltea_	candidate
d2piaa2	d3ltea_	candidate
d1fjgc2	d2o90a_	candidate
d1uv7a_	d6ybso_	candidate
d1wi4a1	d2hgaa1	candidate
d1fjgc2	d2dj6a_	candidate
d1fjgc2	d3v9oa_	candidate
d1dhna_	d1fjgc2	candidate
d1fjgc2	d2yzca1	candidate
d1fjgc2	d1nbua_	candidate
d1b9la_	d1fjgc2	candidate
d1rlia_	d3qfta2	candidate
d1rlia_	d1tvca2	candidate
d1ct5a_	d1n55a_	candidate
d1bdfa1	d1r3na2	candidate
d1r3na2	d2gjva1	candidate
d1krha2	d3grca_	candidate
d2piaa2	d3grca_	candidate
d1qzya1	d2v9va1	candidate
d1xgsa1	d2v9va1	candidate
d1vlpa2	d2nlya1	candidate
d1v6ta_	d1vlpa2	candidate
d1vlpa2	d2i5ia1	candidate
d2j01s1	d2ywqa1	candidate
d1bdfa1	d2q43a2	candidate
d2gjva1	d2q43a2	candidate
d1uv7a_	d6ez7a1	candidate
d5lxea_	d7c0da_	candidate
d1wdda1	d5lxea_	candidate
d4fhaa_	d5lxea_	candidate
d5lxea_	d5ruba1	candidate
d5lxea_	d5ui3a_	candidate
d1sr9a2	d5lxea_	candidate
d1vr6a2	d5lxea_	candidate
d2oemb2	d5lxea_	candidate
d3s5oa_	d5lxea_	candidate
d4cnna_	d5lxea_	candidate
d1sfla_	d5lxea_	candidate
d3m5va_	d5lxea_	candidate
d3l9ca1	d5lxea_	candidate
d1tj2a2	d5lxea_	candidate
d1i1ga2	d1uv7a_	candidate
d1mwza_	d1uv7a_	candidate
d1bgca_	d3b3ha_	candidate
d1eera_	d3b3ha_	candidate
d1evsa_	d3b3ha_	candidate
d1lkia_	d3b3ha_	candidate
d1eera_	d1yuza1	candidate
d1evsa_	d1yuza1	candidate
d1lkia_	d1yuza1	candidate
d2hgaa1	d2z9ia1	candidate
d1wifa1	d2hgaa1	candidate
d2hgaa1	d3axaa_	candidate
d2hgaa1	d3qdoa1	candidate
d2fe5a1	d2hgaa1	candidate
d2hgaa1	d2r4ha1	candidate
d2hgaa1	d2p3wa1	candidate
d1wi2a1	d2hgaa1	candidate
d2cssa1	d2hgaa1	candidate
d2dlua1	d2hgaa1	candidate
d2hgaa1	d2opga1	candidate
d1q3oa_	d2hgaa1	candidate
d2hgaa1	d6lcba_	candidate
d1kwaa_	d2hgaa1	candidate
d2dlsa1	d2hgaa1	candidate
d2hgaa1	d6x1ra1	candidate
d2egoa1	d2hgaa1	candidate
d2hgaa1	d3vqfa_	candidate
d1ky9b2	d2hgaa1	candidate
d1wh1a1	d2hgaa1	candidate
d1uhpa1	d2hgaa1	candidate
d2hgaa1	d3stja2	candidate
d2hgaa1	d2iwoa_	candidate
d2hgaa1	d5hj1a_	candidate
d2d92a1	d2hgaa1	candidate
d1ueqa1	d2hgaa1	candidate
d2hgaa1	d2q9va1	candidate
d2hgaa1	d7d6fa_	candidate
d1mfga1	d2hgaa1	candidate
d2hgaa1	d2o2ta1	candidate
d2hgaa1	d2koha1	candidate
d1r6ja1	d2hgaa1	candidate
d1fc6a3	d2hgaa1	candidate
d1x5na1	d2hgaa1	candidate
d2hgaa1	d2iwna1	candidate
d1ujda1	d2hgaa1	candidate
d2hgaa1	d5m3na2	candidate
d2hgaa1	d2w4fa1	candidate
d1v5qa1	d2hgaa1	candidate
d2hgaa1	d6qjla_	candidate
d2edpa1	d2hgaa1	candidate
d1v62a1	d2hgaa1	candidate
d1sota1	d2hgaa1	candidate
d1n99a1	d2hgaa1	candidate
d2hgaa1	d2yuya1	candidate
d2hgaa1	d2koja1	candidate
d2h2ba1	d2hgaa1	candidate
d2gzva1	d2hgaa1	candidate
d2hgaa1	d6y38a_	candidate
d1n7ea_	d2hgaa1	candidate
d2hgaa1	d6gbda1	candidate
d2eeha1	d2hgaa1	candidate
d2hgaa1	d3bpua1	candidate
d1rzxa_	d2hgaa1	candidate
d2g5mb1	d2hgaa1	candidate
d1um1a1	d2hgaa1	candidate
d1m5za_	d2hgaa1	candidate
d2f5ya1	d2hgaa1	candidate
d1p1da2	d2hgaa1	candidate
d1x45a1	d2hgaa1	candidate
d2edva1	d2hgaa1	candidate
d1x6da1	d2hgaa1	candidate
d1ihja_	d2hgaa1	candidate
d2hgaa1	d5fb8c_	candidate
d1uita1	d2hgaa1	candidate
d2hgaa1	d4yo1a1	candidate
d2hgaa1	d2q3ga1	candidate
d2hgaa1	d2vsva1	candidate
d2daza1	d2hgaa1	candidate
d1v6ba1	d2hgaa1	candidate
d1fftc2	d3d19a1	candidate
d1qzya1	d7k5yu_	candidate
d1xgsa1	d7k5yu_	candidate
d1vm6a2	d2hqsc2	candidate
d1vm6a2	d3td3a1	candidate
d1qmha1	d1vm6a2	candidate
d1vm6a2	d7rjja_	candidate
d3cfya1	d3ozua3	candidate
d1krha2	d3cfya1	candidate
d3cfya1	d4eh1a2	candidate
d1tvca2	d3cfya1	candidate
d2piaa2	d3cfya1	candidate
d3cfya1	d3lo8a2	candidate
d1bdfa1	d1y0ha_	candidate
d1ig3a2	d3imka1	candidate
d2nx2a1	d3imka1	candidate
d2rspa_	d4jp6a_	candidate
d1qzya1	d6qpqb_	candidate
d3cg4a_	d3ozua3	candidate
d3kyjb1	d3ozua3	candidate
d1p9la1	d3ozua3	candidate
d3ozua3	d5mp7a2	candidate
d1l5za1	d3ozua3	candidate
d1zgza1	d3ozua3	candidate
d3eqza1	d3ozua3	candidate
d1dbwa_	d3ozua3	candidate
d3ozua3	d5c1ta1	candidate
d3hlya_	d3ozua3	candidate
d1w25a2	d3ozua3	candidate
d3ozua3	d6xvud_	candidate
d1ccwa_	d3ozua3	candidate
d3ozua3	d7ccia1	candidate
d1w25a1	d3ozua3	candidate
d3ozua3	d6ohka1	candidate
d3cz5a_	d3ozua3	candidate
d3ozua3	d6onta_	candidate
d2jrla_	d3ozua3	candidate
d3ozua3	d6swla_	candidate
d2b4aa1	d3ozua3	candidate
d2qv0a_	d3ozua3	candidate
d3eula_	d3ozua3	candidate
d3ozua3	d6ekgy_	candidate
d1p6qa_	d3ozua3	candidate
d1bvyf_	d3ozua3	candidate
d3ozua3	d5nula_	candidate
d3ozua3	d3t8ya_	candidate
d1jbea_	d3ozua3	candidate
d1gdha2	d3ozua3	candidate
d2j67a_	d3ozua3	candidate
d1u9ya2	d3ozua3	candidate
d2qr3a1	d3ozua3	candidate
d3hv2a_	d3ozua3	candidate
d3ozua3	d5tqja_	candidate
d3ozua3	d4d6ya_	candidate
d3heba1	d3ozua3	candidate
d2pv7a2	d3ozua3	candidate
d1vm6a3	d3ozua3	candidate
d3ozua3	d4e7pa1	candidate
d3ozua3	d4euka_	candidate
d3khta_	d3ozua3	candidate
d2egha2	d3ozua3	candidate
d1rlja1	d3ozua3	candidate
d1t3ga_	d3ozua3	candidate
d1dcfa_	d3ozua3	candidate
d1mx3a2	d3ozua3	candidate
d3bula2	d3ozua3	candidate
d3h5ia_	d3ozua3	candidate
d1j4aa2	d3ozua3	candidate
d3ozua3	d6nfea2	candidate
d1m5ta_	d3ozua3	candidate
d3ozua3	d4zyla_	candidate
