domain_id	length	sccs	superfamily	species_id
d2c0ka_	150	a.1.1.0	a.1.1	2c0k
d6bmea_	127	a.1.1.0	a.1.1	6bme
d2wtga_	158	a.1.1.0	a.1.1	2wtg
d2zs0a_	140	a.1.1.0	a.1.1	2zs0
d2zs0b_	142	a.1.1.0	a.1.1	2zs0
d2zs0c_	147	a.1.1.0	a.1.1	2zs0
d2zs0d_	145	a.1.1.0	a.1.1	2zs0
d1x46a_	150	a.1.1.0	a.1.1	1x46
d1kf6b1	138	a.1.2.1	a.1.2	1kf6
d2h88b2	132	a.1.2.1	a.1.2	2h88
d1nekb1	132	a.1.2.1	a.1.2	1nek
d2bs2b1	133	a.1.2.1	a.1.2	2bs2
d1gtea1	182	a.1.2.2	a.1.2	1gte
d1grja1	78	a.2.1.1	a.2.1	1grj
d2f23a1	75	a.2.1.1	a.2.1	2f23
d2qamx1	63	a.2.2.1	a.2.2	2qam
d1vq8v1	65	a.2.2.1	a.2.2	1vq8
d2j0121	50	a.2.2.1	a.2.2	2j01
d1nz6a_	98	a.2.3.1	a.2.3	1nz6
d1fpoa1	76	a.2.3.1	a.2.3	1fpo
d1fafa_	79	a.2.3.1	a.2.3	1faf
d1gh6a1	111	a.2.3.1	a.2.3	1gh6
d2o37a_	81	a.2.3.0	a.2.3	2o37
d3ag7a1	100	a.2.3.0	a.2.3	3ag7
d1fxkc_	133	a.2.5.1	a.2.5	1fxk
d1fxka_	107	a.2.5.1	a.2.5	1fxk
d1cxzb_	86	a.2.6.1	a.2.6	1cxz
d1srya1	110	a.2.7.1	a.2.7	1sry
d2iy5a1	70	a.2.7.2	a.2.7	2iy5
d1ivsa1	66	a.2.7.3	a.2.7	1ivs
d1lrza1	65	a.2.7.4	a.2.7	1lrz
d1k4ta1	72	a.2.8.1	a.2.8	1k4t
d1qoja_	46	a.2.9.1	a.2.9	1qoj
d2jdih1	44	a.2.10.1	a.2.10	2jdi
d1aqta1	50	a.2.10.1	a.2.10	1aqt
d1coja1	89	a.2.11.1	a.2.11	1coj
d1wb8a1	89	a.2.11.1	a.2.11	1wb8
d1my6a1	88	a.2.11.1	a.2.11	1my6
d1ix9a1	90	a.2.11.1	a.2.11	1ix9
d3ak2a1	92	a.2.11.0	a.2.11	3ak2
d4f6ea1	84	a.2.11.0	a.2.11	4f6e
d3ceia1	84	a.2.11.0	a.2.11	3cei
d4f2na1	96	a.2.11.0	a.2.11	4f2n
d2cw3a1	87	a.2.11.0	a.2.11	2cw3
d6gsca1	65	a.2.11.0	a.2.11	6gsc
d3d36c_	42	a.2.12.1	a.2.12	3d36
d1rfya_	89	a.2.13.1	a.2.13	1rfy
d1tjla1	104	a.2.14.1	a.2.14	1tjl
d5gmkh_	95	a.2.15.1	a.2.15	5gmk
d1x4ta1	80	a.2.15.1	a.2.15	1x4t
d2a26a1	47	a.2.16.1	a.2.16	2a26
d2f6ma2	64	a.2.17.1	a.2.17	2f6m
d2f6mb2	106	a.2.17.2	a.2.17	2f6m
d2f66c1	65	a.2.17.3	a.2.17	2f66
d1z0pa1	73	a.2.18.1	a.2.18	1z0p
d1z0jb1	51	a.2.19.1	a.2.19	1z0j
d1z0kb1	61	a.2.19.1	a.2.19	1z0k
d2ca5a1	59	a.2.20.1	a.2.20	2ca5
d3bhpa_	52	a.2.21.1	a.2.21	3bhp
d1gu2a_	124	a.3.1.1	a.3.1	1gu2
d1i8oa_	114	a.3.1.1	a.3.1	1i8o
d1cc5a_	83	a.3.1.1	a.3.1	1cc5
d1gksa_	78	a.3.1.1	a.3.1	1gks
d451ca_	82	a.3.1.1	a.3.1	451c
d1ql3a_	99	a.3.1.1	a.3.1	1ql3
d1c52a_	131	a.3.1.1	a.3.1	1c52
d1b7ca_	71	a.3.1.1	a.3.1	1b7c
d1c75a_	71	a.3.1.1	a.3.1	1c75
d1c53a_	79	a.3.1.1	a.3.1	1c53
d1ctja_	89	a.3.1.1	a.3.1	1ctj
d1ycca_	108	a.3.1.1	a.3.1	1ycc
d1h32b_	134	a.3.1.1	a.3.1	1h32
d1e29a_	135	a.3.1.1	a.3.1	1e29
d1dw0a_	112	a.3.1.1	a.3.1	1dw0
d2bh4x_	121	a.3.1.1	a.3.1	2bh4
d1wvec_	75	a.3.1.1	a.3.1	1wve
d1qksa1	127	a.3.1.2	a.3.1	1qks
d3cx5d1	199	a.3.1.3	a.3.1	3cx5
d1ppjd1	195	a.3.1.3	a.3.1	1ppj
d1qcrd2	29	a.3.1.3	a.3.1	1qcr
d1m70a1	92	a.3.1.4	a.3.1	1m70
d1m70a2	98	a.3.1.4	a.3.1	1m70
d1h1oa1	82	a.3.1.4	a.3.1	1h1o
d1h1oa2	90	a.3.1.4	a.3.1	1h1o
d1fcdc1	80	a.3.1.4	a.3.1	1fcd
d1fcdc2	94	a.3.1.4	a.3.1	1fcd
d1iqca1	150	a.3.1.5	a.3.1	1iqc
d1iqca2	158	a.3.1.5	a.3.1	1iqc
d1kb0a1	97	a.3.1.6	a.3.1	1kb0
d1kv9a1	104	a.3.1.6	a.3.1	1kv9
d1pbya1	85	a.3.1.7	a.3.1	1pby
d1pbya2	80	a.3.1.7	a.3.1	1pby
d1jmxa1	84	a.3.1.7	a.3.1	1jmx
d1h32a1	150	a.3.1.8	a.3.1	1h32
d1h32a2	111	a.3.1.8	a.3.1	1h32
d2zong_	81	a.3.1.0	a.3.1	2zon
d2zxya_	86	a.3.1.0	a.3.1	2zxy
d4aana1	165	a.3.1.0	a.3.1	4aan
d4aana2	158	a.3.1.0	a.3.1	4aan
d3cu4a_	79	a.3.1.0	a.3.1	3cu4
d4eiea_	82	a.3.1.0	a.3.1	4eie
d2ce0a_	99	a.3.1.0	a.3.1	2ce0
d2hosa_	56	a.4.1.1	a.4.1	2hos
d1lfba_	77	a.4.1.1	a.4.1	1lfb
d1s7ea1	50	a.4.1.1	a.4.1	1s7e
d1mija_	139	a.4.1.1	a.4.1	1mij
d1pufa_	77	a.4.1.1	a.4.1	1puf
d2cufa1	82	a.4.1.1	a.4.1	2cuf
d1x58a1	49	a.4.1.1	a.4.1	1x58
d1bw5a_	66	a.4.1.1	a.4.1	1bw5
d1x2ma1	52	a.4.1.1	a.4.1	1x2m
d1k61a_	60	a.4.1.1	a.4.1	1k61
d1akha_	49	a.4.1.1	a.4.1	1akh
d1e3oc1	57	a.4.1.1	a.4.1	1e3o
d1pufb_	73	a.4.1.1	a.4.1	1puf
d1x41a1	47	a.4.1.1	a.4.1	1x41
d1nk2p_	77	a.4.1.1	a.4.1	1nk2
d2ecba1	76	a.4.1.1	a.4.1	2ecb
d3a02a_	51	a.4.1.1	a.4.1	3a02
d3a01a_	78	a.4.1.1	a.4.1	3a01
d3k2aa_	55	a.4.1.1	a.4.1	3k2a
d1gdta1	43	a.4.1.2	a.4.1	1gdt
d1ijwc_	47	a.4.1.2	a.4.1	1ijw
d2ezla_	99	a.4.1.2	a.4.1	2ezl
d2ezia_	75	a.4.1.2	a.4.1	2ezi
d1tc3c_	51	a.4.1.2	a.4.1	1tc3
d1u78a2	50	a.4.1.2	a.4.1	1u78
d1a5ja2	195	a.4.1.3	a.4.1	1a5j
d1guua_	50	a.4.1.3	a.4.1	1guu
d1gvda_	52	a.4.1.3	a.4.1	1gvd
d1gv2a2	47	a.4.1.3	a.4.1	1gv2
d2cqqa1	59	a.4.1.3	a.4.1	2cqq
d2cqra1	60	a.4.1.3	a.4.1	2cqr
d2crga1	57	a.4.1.3	a.4.1	2crg
d2cu7a1	65	a.4.1.3	a.4.1	2cu7
d1xc5a1	68	a.4.1.3	a.4.1	1xc5
d2cjja1	63	a.4.1.3	a.4.1	2cjj
d1fexa_	59	a.4.1.3	a.4.1	1fex
d2iw5b1	65	a.4.1.3	a.4.1	2iw5
d1ofcx1	52	a.4.1.3	a.4.1	1ofc
d2ckxa1	83	a.4.1.3	a.4.1	2ckx
d1h8ac1	57	a.4.1.3	a.4.1	1h8a
d4a69c_	69	a.4.1.3	a.4.1	4a69
d1w0ua_	55	a.4.1.4	a.4.1	1w0u
d1k78a1	63	a.4.1.5	a.4.1	1k78
d1k78a2	61	a.4.1.5	a.4.1	1k78
d1igna2	103	a.4.1.6	a.4.1	1ign
d1igna1	86	a.4.1.6	a.4.1	1ign
d1iufa1	78	a.4.1.7	a.4.1	1iuf
d1iufa2	66	a.4.1.7	a.4.1	1iuf
d1hlva1	66	a.4.1.7	a.4.1	1hlv
d1hlva2	65	a.4.1.7	a.4.1	1hlv
d1bl0a1	54	a.4.1.8	a.4.1	1bl0
d1bl0a2	62	a.4.1.8	a.4.1	1bl0
d1d5ya2	65	a.4.1.8	a.4.1	1d5y
d1ui5a1	71	a.4.1.9	a.4.1	1ui5
d1t56a1	73	a.4.1.9	a.4.1	1t56
d2fx0a1	73	a.4.1.9	a.4.1	2fx0
d3loca1	75	a.4.1.9	a.4.1	3loc
d1rkta1	81	a.4.1.9	a.4.1	1rkt
d1vi0a1	72	a.4.1.9	a.4.1	1vi0
d3br0a1	71	a.4.1.9	a.4.1	3br0
d1jt6a1	71	a.4.1.9	a.4.1	1jt6
d2gena1	70	a.4.1.9	a.4.1	2gen
d2fd5a1	76	a.4.1.9	a.4.1	2fd5
d2gfna1	77	a.4.1.9	a.4.1	2gfn
d2d6ya1	68	a.4.1.9	a.4.1	2d6y
d2oi8a1	79	a.4.1.9	a.4.1	2oi8
d2g3ba1	71	a.4.1.9	a.4.1	2g3b
d2g7sa1	74	a.4.1.9	a.4.1	2g7s
d2g7ga1	65	a.4.1.9	a.4.1	2g7g
d2hkua1	70	a.4.1.9	a.4.1	2hku
d2i10a1	69	a.4.1.9	a.4.1	2i10
d2np3a1	38	a.4.1.9	a.4.1	2np3
d3c07a1	75	a.4.1.9	a.4.1	3c07
d2hyja1	75	a.4.1.9	a.4.1	2hyj
d2id3a1	68	a.4.1.9	a.4.1	2id3
d2g7la1	68	a.4.1.9	a.4.1	2g7l
d1sgma1	73	a.4.1.9	a.4.1	1sgm
d1t33a1	88	a.4.1.9	a.4.1	1t33
d2iu5a1	71	a.4.1.9	a.4.1	2iu5
d2fq4a1	69	a.4.1.9	a.4.1	2fq4
d1zk8a1	72	a.4.1.9	a.4.1	1zk8
d2o7ta1	78	a.4.1.9	a.4.1	2o7t
d2zoya1	74	a.4.1.9	a.4.1	2zoy
d1z0xa1	68	a.4.1.9	a.4.1	1z0x
d2fbqa1	79	a.4.1.9	a.4.1	2fbq
d2np5a1	69	a.4.1.9	a.4.1	2np5
d2id6a1	75	a.4.1.9	a.4.1	2id6
d1irza_	64	a.4.1.11	a.4.1	1irz
d1etoa_	87	a.4.1.12	a.4.1	1eto
d1etxa_	74	a.4.1.12	a.4.1	1etx
d1umqa_	60	a.4.1.12	a.4.1	1umq
d1g2ha_	61	a.4.1.12	a.4.1	1g2h
d1ofcx2	127	a.4.1.13	a.4.1	1ofc
d1rr7a_	94	a.4.1.14	a.4.1	1rr7
d2coba1	63	a.4.1.15	a.4.1	2cob
d2ga1a1	102	a.4.1.16	a.4.1	2ga1
d2ao9a1	117	a.4.1.17	a.4.1	2ao9
d2dw4a1	102	a.4.1.18	a.4.1	2dw4
d2fq3a1	85	a.4.1.18	a.4.1	2fq3
d2aqfa2	89	a.4.1.18	a.4.1	2aqf
d2jn6a1	89	a.4.1.19	a.4.1	2jn6
d2o3fa1	83	a.4.1.20	a.4.1	2o3f
d3gnaa_	68	a.4.1.21	a.4.1	3gna
d2vkva1	62	a.4.1.0	a.4.1	2vkv
d2da1a1	185	a.4.1.0	a.4.1	2da1
d2da5a1	191	a.4.1.0	a.4.1	2da5
d2dn0a1	196	a.4.1.0	a.4.1	2dn0
d2d5va2	56	a.4.1.0	a.4.1	2d5v
d1sfea1	84	a.4.2.1	a.4.2	1sfe
d1mgta1	81	a.4.2.1	a.4.2	1mgt
d1c20a_	128	a.4.3.1	a.4.3	1c20
d1ig6a_	107	a.4.3.1	a.4.3	1ig6
d1kkxa_	102	a.4.3.1	a.4.3	1kkx
d2cxya_	114	a.4.3.1	a.4.3	2cxy
d1biaa1	63	a.4.5.1	a.4.5	1bia
d1j5ya1	65	a.4.5.1	a.4.5	1j5y
d1jhfa1	71	a.4.5.2	a.4.5	1jhf
d1aoya_	78	a.4.5.3	a.4.5	1aoy
d1i5za1	69	a.4.5.4	a.4.5	1i5z
d3e5ua1	76	a.4.5.4	a.4.5	3e5u
d1ft9a1	78	a.4.5.4	a.4.5	1ft9
d1zyba1	73	a.4.5.4	a.4.5	1zyb
d2gaua1	81	a.4.5.4	a.4.5	2gau
d2zcwa1	82	a.4.5.4	a.4.5	2zcw
d2coha4	81	a.4.5.4	a.4.5	2coh
d2bgca1	100	a.4.5.4	a.4.5	2bgc
d1u2wa1	104	a.4.5.5	a.4.5	1u2w
d1r1ua_	94	a.4.5.5	a.4.5	1r1u
d1r1ta_	98	a.4.5.5	a.4.5	1r1t
d1hw1a1	74	a.4.5.6	a.4.5	1hw1
d2hs5a1	69	a.4.5.6	a.4.5	2hs5
d3bwga1	78	a.4.5.6	a.4.5	3bwg
d1v4ra1	100	a.4.5.6	a.4.5	1v4r
d1bm9a_	120	a.4.5.7	a.4.5	1bm9
d1b9ma1	122	a.4.5.8	a.4.5	1b9m
d1bjaa_	95	a.4.5.9	a.4.5	1bja
d1repc1	111	a.4.5.10	a.4.5	1rep
d1repc2	103	a.4.5.10	a.4.5	1rep
d2nrac1	135	a.4.5.10	a.4.5	2nra
d2nrac2	117	a.4.5.10	a.4.5	2nra
d1hkqa_	125	a.4.5.10	a.4.5	1hkq
d1fnna1	103	a.4.5.11	a.4.5	1fnn
d1w5sa1	103	a.4.5.11	a.4.5	1w5s
d1in4a1	75	a.4.5.11	a.4.5	1in4
d2fnaa1	73	a.4.5.11	a.4.5	2fna
d2foka1	132	a.4.5.12	a.4.5	2fok
d2foka2	138	a.4.5.12	a.4.5	2fok
d2foka3	95	a.4.5.12	a.4.5	2fok
d1ussa_	88	a.4.5.13	a.4.5	1uss
d1hsta_	74	a.4.5.13	a.4.5	1hst
d1d5va_	94	a.4.5.14	a.4.5	1d5v
d3l2ca_	85	a.4.5.14	a.4.5	3l2c
d2a07f1	82	a.4.5.14	a.4.5	2a07
d2bbya_	69	a.4.5.15	a.4.5	2bby
d1dpua_	69	a.4.5.16	a.4.5	1dpu
d1cf7b_	82	a.4.5.17	a.4.5	1cf7
d1cf7a_	67	a.4.5.17	a.4.5	1cf7
d1d8ka_	81	a.4.5.18	a.4.5	1d8k
d1sfua_	70	a.4.5.19	a.4.5	1sfu
d1oyia_	62	a.4.5.19	a.4.5	1oyi
d1xmka1	73	a.4.5.19	a.4.5	1xmk
d1qbja_	65	a.4.5.19	a.4.5	1qbj
d2heoa_	59	a.4.5.19	a.4.5	2heo
d1dp7p_	76	a.4.5.20	a.4.5	1dp7
d1ka8a_	100	a.4.5.20	a.4.5	1ka8
d1gvja_	141	a.4.5.21	a.4.5	1gvj
d1yo5c1	88	a.4.5.21	a.4.5	1yo5
d1hbxg_	112	a.4.5.21	a.4.5	1hbx
d1puee_	88	a.4.5.21	a.4.5	1pue
d3jtga_	95	a.4.5.21	a.4.5	3jtg
d1hksa_	106	a.4.5.22	a.4.5	1hks
d2htsa_	88	a.4.5.22	a.4.5	2hts
d2pi0b_	112	a.4.5.23	a.4.5	2pi0
d2irfg_	109	a.4.5.23	a.4.5	2irf
d2dtra1	61	a.4.5.24	a.4.5	2dtr
d2isya1	63	a.4.5.24	a.4.5	2isy
d1on2a1	61	a.4.5.24	a.4.5	1on2
d1b6aa1	74	a.4.5.25	a.4.5	1b6a
d1xgsa1	77	a.4.5.25	a.4.5	1xgs
d1t0fa1	100	a.4.5.27	a.4.5	1t0f
d1ub9a_	100	a.4.5.28	a.4.5	1ub9
d3echa_	129	a.4.5.28	a.4.5	3ech
d1jgsa_	138	a.4.5.28	a.4.5	1jgs
d1z91a1	137	a.4.5.28	a.4.5	1z91
d2frha2	123	a.4.5.28	a.4.5	2frh
d2hr3a1	139	a.4.5.28	a.4.5	2hr3
d2fbia1	136	a.4.5.28	a.4.5	2fbi
d2fxaa1	156	a.4.5.28	a.4.5	2fxa
d2etha1	140	a.4.5.28	a.4.5	2eth
d1s3ja_	143	a.4.5.28	a.4.5	1s3j
d1hsja1	115	a.4.5.28	a.4.5	1hsj
d1p4xa1	125	a.4.5.28	a.4.5	1p4x
d1p4xa2	125	a.4.5.28	a.4.5	1p4x
d3ctaa1	85	a.4.5.28	a.4.5	3cta
d2fbka1	156	a.4.5.28	a.4.5	2fbk
d2bv6a1	136	a.4.5.28	a.4.5	2bv6
d3broa1	135	a.4.5.28	a.4.5	3bro
d2fbha1	137	a.4.5.28	a.4.5	2fbh
d1lj9a_	144	a.4.5.28	a.4.5	1lj9
d3deua1	132	a.4.5.28	a.4.5	3deu
d2a61a1	139	a.4.5.28	a.4.5	2a61
d5dd8a_	156	a.4.5.28	a.4.5	5dd8
d4aiha_	139	a.4.5.28	a.4.5	4aih
d1qzza1	91	a.4.5.29	a.4.5	1qzz
d5eeha1	89	a.4.5.29	a.4.5	5eeh
d1fp1d1	110	a.4.5.29	a.4.5	1fp1
d1fp2a1	101	a.4.5.29	a.4.5	1fp2
d2csoa1	115	a.4.5.31	a.4.5	2cso
d1o7fa1	142	a.4.5.31	a.4.5	1o7f
d1fsha_	94	a.4.5.31	a.4.5	1fsh
d2cg4a1	63	a.4.5.32	a.4.5	2cg4
d2cfxa1	63	a.4.5.32	a.4.5	2cfx
d1mkma1	75	a.4.5.33	a.4.5	1mkm
d1ldda_	74	a.4.5.34	a.4.5	1ldd
d1ldja1	90	a.4.5.34	a.4.5	1ldj
d1lvaa3	64	a.4.5.35	a.4.5	1lva
d1lvaa4	60	a.4.5.35	a.4.5	1lva
d2v9va1	61	a.4.5.35	a.4.5	2v9v
d2v9va2	73	a.4.5.35	a.4.5	2v9v
d1ku9a_	151	a.4.5.36	a.4.5	1ku9
d1ixca1	84	a.4.5.37	a.4.5	1ixc
d2esna1	89	a.4.5.37	a.4.5	2esn
d2dt5a1	74	a.4.5.38	a.4.5	2dt5
d2g9wa1	119	a.4.5.39	a.4.5	2g9w
d1p6ra_	82	a.4.5.39	a.4.5	1p6r
d1sd4a_	122	a.4.5.39	a.4.5	1sd4
d1p4aa1	73	a.4.5.40	a.4.5	1p4a
d1q1ha_	85	a.4.5.41	a.4.5	1q1h
d1mzba_	133	a.4.5.42	a.4.5	1mzb
d1oywa1	110	a.4.5.43	a.4.5	1oyw
d2p6ra1	85	a.4.5.43	a.4.5	2p6r
d2axla1	144	a.4.5.43	a.4.5	2axl
d1pp7u_	114	a.4.5.44	a.4.5	1pp7
d1ucra_	74	a.4.5.45	a.4.5	1ucr
d2cqka1	88	a.4.5.46	a.4.5	2cqk
d1zh5a1	99	a.4.5.46	a.4.5	1zh5
d3chma2	77	a.4.5.47	a.4.5	3chm
d1rz4a1	83	a.4.5.47	a.4.5	1rz4
d4cr2t2	94	a.4.5.47	a.4.5	4cr2
d4cr2s2	96	a.4.5.47	a.4.5	4cr2
d4cr2p2	117	a.4.5.47	a.4.5	4cr2
d4cr2r2	98	a.4.5.47	a.4.5	4cr2
d4cr2o2	110	a.4.5.47	a.4.5	4cr2
d2co5a1	89	a.4.5.48	a.4.5	2co5
d2pg4a1	92	a.4.5.48	a.4.5	2pg4
d1r7ja_	90	a.4.5.49	a.4.5	1r7j
d2d1ha1	102	a.4.5.50	a.4.5	2d1h
d1stza1	87	a.4.5.51	a.4.5	1stz
d2zxxc_	185	a.4.5.52	a.4.5	2zxx
d1xb4a1	105	a.4.5.54	a.4.5	1xb4
d1xb4a2	72	a.4.5.54	a.4.5	1xb4
d1u5tb1	94	a.4.5.54	a.4.5	1u5t
d1u5tb2	75	a.4.5.54	a.4.5	1u5t
d1u5ta1	145	a.4.5.54	a.4.5	1u5t
d1u5ta2	68	a.4.5.54	a.4.5	1u5t
d1ylfa1	117	a.4.5.55	a.4.5	1ylf
d1zara1	89	a.4.5.56	a.4.5	1zar
d1w1we_	70	a.4.5.57	a.4.5	1w1w
d1ulya_	190	a.4.5.58	a.4.5	1uly
d1t6sa1	85	a.4.5.60	a.4.5	1t6s
d1t6sa2	77	a.4.5.60	a.4.5	1t6s
d1yg2a_	169	a.4.5.61	a.4.5	1yg2
d2esha1	114	a.4.5.61	a.4.5	2esh
d1xmaa_	101	a.4.5.61	a.4.5	1xma
d1xn7a_	78	a.4.5.62	a.4.5	1xn7
d4awxb1	58	a.4.5.62	a.4.5	4awx
d2hoea1	58	a.4.5.63	a.4.5	2hoe
d1z05a1	71	a.4.5.63	a.4.5	1z05
d2p4wa_	197	a.4.5.64	a.4.5	2p4w
d1t98a1	103	a.4.5.65	a.4.5	1t98
d2b0la1	91	a.4.5.66	a.4.5	2b0l
d2ve8a_	67	a.4.5.67	a.4.5	2ve8
d5deqa2	63	a.4.5.68	a.4.5	5deq
d2fmla1	57	a.4.5.68	a.4.5	2fml
d1z7ua1	108	a.4.5.69	a.4.5	1z7u
d2f2ea1	142	a.4.5.69	a.4.5	2f2e
d2fswa1	102	a.4.5.69	a.4.5	2fsw
d2hzta1	95	a.4.5.69	a.4.5	2hzt
d1yyva1	114	a.4.5.69	a.4.5	1yyv
d2od5a1	91	a.4.5.70	a.4.5	2od5
d2obpa1	81	a.4.5.71	a.4.5	2obp
d2p8ta1	67	a.4.5.72	a.4.5	2p8t
d2htja1	73	a.4.5.73	a.4.5	2htj
d2ipqx1	121	a.4.5.74	a.4.5	2ipq
d3bz6a1	84	a.4.5.75	a.4.5	3bz6
d3bz6a2	84	a.4.5.75	a.4.5	3bz6
d2ns0a1	85	a.4.5.76	a.4.5	2ns0
d2hgca1	78	a.4.5.77	a.4.5	2hgc
d2cmxa_	68	a.4.5.78	a.4.5	2cmx
d2vqca1	70	a.4.5.78	a.4.5	2vqc
d3f0pa1	80	a.4.5.79	a.4.5	3f0p
d1s6la1	60	a.4.5.79	a.4.5	1s6l
d2a5yb1	118	a.4.5.80	a.4.5	2a5y
d2doaa1	91	a.4.5.81	a.4.5	2doa
d2gmga1	105	a.4.5.82	a.4.5	2gmg
d1zela1	82	a.4.5.83	a.4.5	1zel
d2v7fa1	139	a.4.5.84	a.4.5	2v7f
d2dk5a1	78	a.4.5.85	a.4.5	2dk5
d2dk8a1	68	a.4.5.85	a.4.5	2dk8
d4esfa1	98	a.4.5.0	a.4.5	4esf
d3bjaa1	131	a.4.5.0	a.4.5	3bja
d7cv2a1	64	a.4.5.0	a.4.5	7cv2
d2fe3a_	141	a.4.5.0	a.4.5	2fe3
d4a5na_	104	a.4.5.0	a.4.5	4a5n
d5h20a_	103	a.4.5.0	a.4.5	5h20
d6dk4a_	135	a.4.5.0	a.4.5	6dk4
d6d57a_	143	a.4.5.0	a.4.5	6d57
d2fmya2	81	a.4.5.0	a.4.5	2fmy
d3jw4a_	123	a.4.5.0	a.4.5	3jw4
d4ejoa1	107	a.4.5.0	a.4.5	4ejo
d3hhha_	102	a.4.5.0	a.4.5	3hhh
d2xiga_	146	a.4.5.0	a.4.5	2xig
d4co8a1	97	a.4.5.0	a.4.5	4co8
d3cuqa1	142	a.4.5.0	a.4.5	3cuq
d3cuqa2	77	a.4.5.0	a.4.5	3cuq
d3k69a_	151	a.4.5.0	a.4.5	3k69
d6fuua_	100	a.4.5.0	a.4.5	6fuu
d3f8ba_	101	a.4.5.0	a.4.5	3f8b
d4e70a1	106	a.4.5.0	a.4.5	4e70
d3bpva_	137	a.4.5.0	a.4.5	3bpv
d3qu3a_	122	a.4.5.0	a.4.5	3qu3
d3gw2a_	92	a.4.5.0	a.4.5	3gw2
d5eria1	147	a.4.5.0	a.4.5	5eri
d5dyma_	96	a.4.5.0	a.4.5	5dym
d4gcva_	140	a.4.5.0	a.4.5	4gcv
d2cyya1	60	a.4.5.0	a.4.5	2cyy
d3cjna_	139	a.4.5.0	a.4.5	3cjn
d3e6ma_	145	a.4.5.0	a.4.5	3e6m
d6h24a_	131	a.4.5.0	a.4.5	6h24
d5ffxa_	138	a.4.5.0	a.4.5	5ffx
d3ecoa_	135	a.4.5.0	a.4.5	3eco
d4gxoa1	135	a.4.5.0	a.4.5	4gxo
d4hbla1	132	a.4.5.0	a.4.5	4hbl
d3l7wa_	106	a.4.5.0	a.4.5	3l7w
d4g9ya_	136	a.4.5.0	a.4.5	4g9y
d3eyya_	133	a.4.5.0	a.4.5	3eyy
d3elka_	101	a.4.5.0	a.4.5	3elk
d3df8a1	102	a.4.5.0	a.4.5	3df8
d7dh8a_	141	a.4.5.0	a.4.5	7dh8
d2fa5a_	133	a.4.5.0	a.4.5	2fa5
d1opca_	99	a.4.6.1	a.4.6	1opc
d1gxqa_	105	a.4.6.1	a.4.6	1gxq
d1kgsa1	97	a.4.6.1	a.4.6	1kgs
d2ff4a1	95	a.4.6.1	a.4.6	2ff4
d1p2fa1	97	a.4.6.1	a.4.6	1p2f
d1ys7a1	103	a.4.6.1	a.4.6	1ys7
d1fsea_	67	a.4.6.2	a.4.6	1fse
d1a04a1	67	a.4.6.2	a.4.6	1a04
d1l3la1	65	a.4.6.2	a.4.6	1l3l
d1yioa1	70	a.4.6.2	a.4.6	1yio
